radius,min energy,# ground states,# states
1.0,-4.4464818935309225,2,2048
2.0,-15.428673115670021,2,2048
3.0,-23.981877736006908,2,2048
4.0,-28.124363610656285,2,2048
5.0,-29.44229519812435,2,2048
