radius,min energy,# ground states,# states
1.0,-5.712174135569731,2,2048
2.0,-17.051413615372418,2,2048
3.0,-25.306772439122483,2,2048
4.0,-28.780129936939723,2,2048
5.0,-29.65513843226054,2,2048
