radius,min energy,# ground states,# states
1.0,-12.439413438530206,2,65536
2.0,-37.060856578138214,2,65536
3.0,-53.838753792442596,4,65536
4.0,-61.242834927721475,2,65536
5.0,-63.193370641850954,2,65536
