radius,min energy,# ground states,# states
1.0,-12.20507476701526,2,65536
2.0,-34.446049880613145,2,65536
3.0,-51.73260291902525,2,65536
4.0,-60.48391421838451,2,65536
5.0,-62.96532833110256,2,65536
